01			
Lb04	38		
86d3b0c4b40549f83f6316e237bbcc1777109c067a2dbd0590e01b5881e432fc			
01	00cba1dcb5405f4408dc1376b51d6e12f3deeb76e673961f22299eca8be6c310	9f	50
02	021b8a494bf1b9b7473ee6b4fda17f3b1b54a0eb6c71222e65bc33ee4249ebf7	b9	50
03	03fa4cd0825fa42036b56376b9ce841076311e08105bea6ad0093f26b6ab5610	7c	50
04	05d79cc1823b9d856da1a155f5b8fdb87b53fe30eda20bd770a522fcbe5850c6	de	50
05	0ed939c2db5f35fe29f12263cc633c6edd2543f7d164a06dd99ba3afc054190d	c1	50
06	0edcdff34b9a63e0fba4bd4efe294f508cbf61d0008e00d047d936265f11b088	31	50
07	1491efb6851450ad32608673d0346cbdb49c589d77f24a5b684c2505a0f6f3fa	37	50
08	1b5048cd3172f5326f9058fa3b4685139e2c92297d8444bf5e72323c2aa2eadd	04	50
09	1f80698a30e487a61bfa476c018872fb91f61b6be60fb148584e591d2052af71	e7	50
10	2294dd3abad4cb19f77e3dc944f018a63462ad86bab382dece0086821d14fad2	88	50
11	2f14604378926c6511e733ff3f55084a6ecc602d36cc7cb44499d7d5cef0b07f	8b	50
12	388286aaf41e344e4b60d5b59847a8bbea3903f4a0d120dffe497b12faa05a04	ee	50
13	45fc73068ca0b14343cd32579c5aa8c7222428ee69edee5a532e08f7e96708bc	f6	50
14	52789655420ac1a4df6cc6aaae8cf3c83af1c6eea3c69b76f3ca303c3b076be3	51	50
15	5b7305942cc341583a6f29b495b531bb60f8cfc49e168e5c5e44298ede621a74	d2	50
16	6379c94c31fdec40e0819f5d4e49a6088dd49b80590c427c40533d4f771c111e	9c	50
17	63c6346ee749dc3fb707dbc5914382f6ff73f71e9f8ec58e61bed545d56bad7e	ec	50
18	6c899105f24ad90faa458aecc82c97df5fbba18ba46860aed37a6e31ba7098ad	2e	50
19	6d4d45d3dd227e45d68b13dfb388324fa0545a48f6f058e6d320cc36b6441f60	dd	50
20	790900dc226df6aa9d2f89c3ec5ba04bb56851d697ff23dfb6a1ea78925c5b3d	b7	50
21	8112236b82b9482003eaf5895c31b87c4a19c1097c4744baae88afc89bb04339	6a	50
22	8348444900255114a46cd007a52d81c051957a097179c615dc923763a11b6aba	b4	50
23	89fe46003d3d0645d92672f62dcd06020c5c686c7c07c9354ca44f9fc6dd5fa5	0d	50
24	8ffc862a6793541778ca7f0b253a85763f3d159df8aa726ed9e11fd6344707d2	87	50
25	93995efe9b48259fb987f504730e1b5188be6104a2645ae0110f77ca381a5730	fe	50
26	9a764270a46f8adbfe3fb856b5d7bb1aadd46d36f19c215ed143fc404c7327ed	13	50
27	a84b391e4afaef31d6bd005c3b356cac27c9e4b93d03a9c08eb74eb945670dcf	a7	50
28	b5fc0a044c38ebed6ba1b312f78c0faca39f3dc89b7c4e51a15940d56a8b76d6	63	50
29	c4560f27f488fe456d914c3c2dcdd577d1687e9fdc2815d4ef3e35720723981e	91	50
30	c6aa6c70bfde1866038d49d35fe21307c4006371ed2e93d47a707d86689e499c	7b	50
31	cbf1d85bf9dbb55b936a6381de4081c663a0cb66dedbc5d56dc2c4c00e9cb79f	cf	50
32	d9b780a5097d996b2cc67fcdca68b3e240c8e13c62c0be2e97c172eef6ac842c	a5	50
33	dcc5ea08d5a733076d7379f937936aa11cb7033a4ddafa4b7da2d41b5c33eaf6	f0	50
34	df96a3051e0b78c2cc97b2860f08579692cd7b46b6595287a11536e2976b45f9	4e	50
35	ea26bd80d4f39ecacfa5755e04d246c286d1b6b6df9674db053852982fa96192	56	50
36	f588f424fd5e3d82a7c5518155fb89acc1fa4357498bbe6da326163fbd23b86b	45	50
37	f5b2a369e8071392ca08b0bf83a12e2ffdee99fbe2b3ddcee09b24993edc4224	16	50
38	faabfb2ce4c48ea8dcc35c40e0ef083c9d2642e9ac615c6e431a54d42013cd5a	a3	50
